id,category,collection/id,collection/name,franchises/0/id,franchises/0/name,game_modes/0/id,game_modes/0/name,genres/0/id,genres/0/name,keywords/0/id,keywords/0/name,keywords/1/id,keywords/1/name,name,platforms/0/id,platforms/0/name,similar_games/0/id,similar_games/0/name,similar_games/1/id,similar_games/1/name,similar_games/2/id,similar_games/2/name,similar_games/3/id,similar_games/3/name,similar_games/4/id,similar_games/4/name,similar_games/5/id,similar_games/5/name,similar_games/6/id,similar_games/6/name,similar_games/7/id,similar_games/7/name,similar_games/8/id,similar_games/8/name,similar_games/9/id,similar_games/9/name,themes/0/id,themes/0/name,themes/1/id,themes/1/name,game_modes/1/id,game_modes/1/name,game_modes/2/id,game_modes/2/name,themes/2/id,themes/2/name,themes/3/id,themes/3/name,themes/4/id,themes/4/name,genres/1/id,genres/1/name,keywords/2/id,keywords/2/name,keywords/3/id,keywords/3/name,keywords/4/id,keywords/4/name,keywords/5/id,keywords/5/name,keywords/6/id,keywords/6/name,keywords/7/id,keywords/7/name,keywords/8/id,keywords/8/name,platforms/1/id,platforms/1/name,genres/2/id,genres/2/name,platforms/2/id,platforms/2/name,platforms/3/id,platforms/3/name,platforms/4/id,platforms/4/name,platforms/5/id,platforms/5/name,platforms/6/id,platforms/6/name,platforms/7/id,platforms/7/name,rating,rating_count,franchises/1/id,franchises/1/name,keywords/9/id,keywords/9/name,keywords/10/id,keywords/10/name,keywords/11/id,keywords/11/name,keywords/12/id,keywords/12/name,keywords/13/id,keywords/13/name,keywords/14/id,keywords/14/name,keywords/15/id,keywords/15/name,keywords/16/id,keywords/16/name,keywords/17/id,keywords/17/name,keywords/18/id,keywords/18/name,keywords/19/id,keywords/19/name,keywords/20/id,keywords/20/name,genres/3/id,genres/3/name,genres/4/id,genres/4/name,keywords/21/id,keywords/21/name,keywords/22/id,keywords/22/name,keywords/23/id,keywords/23/name,keywords/24/id,keywords/24/name,keywords/25/id,keywords/25/name,keywords/26/id,keywords/26/name,keywords/27/id,keywords/27/name,keywords/28/id,keywords/28/name,keywords/29/id,keywords/29/name,keywords/30/id,keywords/30/name,keywords/31/id,keywords/31/name,keywords/32/id,keywords/32/name,keywords/33/id,keywords/33/name,keywords/34/id,keywords/34/name,keywords/35/id,keywords/35/name,keywords/36/id,keywords/36/name,keywords/37/id,keywords/37/name,keywords/38/id,keywords/38/name,keywords/39/id,keywords/39/name,keywords/40/id,keywords/40/name,keywords/41/id,keywords/41/name,keywords/42/id,keywords/42/name,keywords/43/id,keywords/43/name,keywords/44/id,keywords/44/name,keywords/45/id,keywords/45/name,keywords/46/id,keywords/46/name,keywords/47/id,keywords/47/name,keywords/48/id,keywords/48/name,keywords/49/id,keywords/49/name,keywords/50/id,keywords/50/name,keywords/51/id,keywords/51/name,keywords/52/id,keywords/52/name,keywords/53/id,keywords/53/name,keywords/54/id,keywords/54/name,keywords/55/id,keywords/55/name,game_modes/3/id,game_modes/3/name,game_modes/4/id,game_modes/4/name,themes/5/id,themes/5/name,keywords/56/id,keywords/56/name,keywords/57/id,keywords/57/name,keywords/58/id,keywords/58/name,keywords/59/id,keywords/59/name,keywords/60/id,keywords/60/name,keywords/61/id,keywords/61/name,keywords/62/id,keywords/62/name,keywords/63/id,keywords/63/name,keywords/64/id,keywords/64/name,keywords/65/id,keywords/65/name,keywords/66/id,keywords/66/name,keywords/67/id,keywords/67/name,keywords/68/id,keywords/68/name,keywords/69/id,keywords/69/name,keywords/70/id,keywords/70/name,keywords/71/id,keywords/71/name,keywords/72/id,keywords/72/name,keywords/73/id,keywords/73/name,keywords/74/id,keywords/74/name,keywords/75/id,keywords/75/name,keywords/76/id,keywords/76/name,keywords/77/id,keywords/77/name,keywords/78/id,keywords/78/name,keywords/79/id,keywords/79/name,keywords/80/id,keywords/80/name,keywords/81/id,keywords/81/name,keywords/82/id,keywords/82/name,keywords/83/id,keywords/83/name,keywords/84/id,keywords/84/name,keywords/85/id,keywords/85/name,keywords/86/id,keywords/86/name,keywords/87/id,keywords/87/name,keywords/88/id,keywords/88/name,keywords/89/id,keywords/89/name,keywords/90/id,keywords/90/name,keywords/91/id,keywords/91/name,keywords/92/id,keywords/92/name,keywords/93/id,keywords/93/name,keywords/94/id,keywords/94/name,keywords/95/id,keywords/95/name,keywords/96/id,keywords/96/name,keywords/97/id,keywords/97/name,keywords/98/id,keywords/98/name,keywords/99/id,keywords/99/name,keywords/100/id,keywords/100/name,keywords/101/id,keywords/101/name,keywords/102/id,keywords/102/name,keywords/103/id,keywords/103/name,keywords/104/id,keywords/104/name,genres/5/id,genres/5/name,genres/6/id,genres/6/name,franchises/2/id,franchises/2/name,franchises/3/id,franchises/3/name,genres/7/id,genres/7/name,themes/6/id,themes/6/name,platforms/8/id,platforms/8/name,platforms/9/id,platforms/9/name,keywords/105/id,keywords/105/name,keywords/106/id,keywords/106/name,keywords/107/id,keywords/107/name,keywords/108/id,keywords/108/name,keywords/109/id,keywords/109/name,keywords/110/id,keywords/110/name,keywords/111/id,keywords/111/name,keywords/112/id,keywords/112/name,keywords/113/id,keywords/113/name,keywords/114/id,keywords/114/name,keywords/115/id,keywords/115/name,keywords/116/id,keywords/116/name,keywords/117/id,keywords/117/name,keywords/118/id,keywords/118/name
176043,0,605,F-Zero,1764,F-Zero,1,Single player,10,Racing,5340,canceled games,23861,cancelled games,Zero Racers,87,Virtual Boy,25311,Star Control: Origins,28070,Planet Alpha,55038,Immortal: Unchained,57187,Crackle Cradle,86477,The Surge 2,89550,Zoids Wild: Blast Unleashed,105269,Gene Rain,113362,PlanetSide Arena,115283,Astral Chain,118871,GRID,1,Action,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144500,5,543,Dark Souls,492,"The ""Souls"" series",1,Single player,31,Adventure,1034,mod,27630,overhaul,Dark Souls: Daughters of Ash,6,PC (Microsoft Windows),19164,Borderlands 3,25646,Don't Knock Twice,81249,The Elder Scrolls VI,96217,Eternity: The Last Unicorn,103303,The Elder Scrolls: Blades,106987,Torchlight III,111130,Apsulov: End of Gods,113360,Hytale,115653,Pokémon Shield,116530,Vampire: The Masquerade - Bloodlines 2,1,Action,17,Fantasy,2,Multiplayer,3,Co-operative,19,Horror,31,Drama,38,Open world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172501,11,7338,Game Watch,596,The Legend of Zelda,1,Single player,31,Adventure,2209,zelda,23793,the legend of zelda,The Legend of Zelda Game Watch,411,Handheld Electronic LCD,28070,Planet Alpha,55038,Immortal: Unchained,55199,Dragon: Marked for Death,81249,The Elder Scrolls VI,96217,Eternity: The Last Unicorn,103303,The Elder Scrolls: Blades,103369,KILL la KILL: IF,106987,Torchlight III,110503,Degrees of Separation,113360,Hytale,1,Action,17,Fantasy,,,,,,,,,,,33,Arcade,25316,handheld port,26440,handheld,26769,wristwatch,29458,non-canon,30750,handheld electronic game,32435,game watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145870,0,,,2608,Eredan,2,Multiplayer,35,Card & Board Game,482,collectible card game ( ccg ),1090,card battle,Eredan Arena,6,PC (Microsoft Windows),40477,Slay the Spire,54538,Magic: The Gathering Arena,77498,DanMachi: Cross Istoria,96217,Eternity: The Last Unicorn,97948,"Causa, Voices of the Dusk",99118,Dragalia Lost,115653,Pokémon Shield,165055,Splinterlands,183871,Metropolis Origins,221466,Crypto Spells,17,Fantasy,,,,,,,,,,,,,,,1521,card battles,2079,cards,3171,card game,18756,card,25688,collecting card game,28143,eredan,28144,feerik,55,Legacy Mobile Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146241,0,6945,Teenage Mutant Ninja Turtles (2007),77,Teenage Mutant Ninja Turtles,1,Single player,8,Platform,1508,mobile,28312,symbian,TMNT: The Power of 4,55,Legacy Mobile Device,25311,Star Control: Origins,28070,Planet Alpha,54775,Shadows: Awakening,57187,Crackle Cradle,76253,Devil May Cry 5,89550,Zoids Wild: Blast Unleashed,105269,Gene Rain,113109,Marvel Ultimate Alliance 3: The Black Order,114009,Dragon Ball Z: Kakarot,115283,Astral Chain,1,Action,18,Science fiction,,,,,,,,,,,10,Racing,,,,,,,,,,,,,,,,,25,Hack and slash/Beat 'em up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165408,11,4702,Sensible Soccer,1110,FIFA,1,Single player,14,Sport,26,soccer,27,football,Sensible Soccer: European Champions,33,Game Boy,701,FIFA Soccer 2002: Major League Soccer,15851,Score! Hero,18681,ISS Pro Evolution 2,30830,Front Office Football Eight,57738,Cartoon Network Superstar Soccer: Goal!!!,100359,Pro Evolution Soccer 2019,106814,Club Soccer Director 2019,114286,Madden NFL 20,114287,FIFA 20,119422,eFootball PES 2020,32,Non-fiction,,,,,,,,,,,,,,,1039,port,27406,fútbol,30703,fan translation - portuguese,31170,supported language - english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180241,0,7428,Baldr,3126,Baldr,1,Single player,25,Hack and slash/Beat 'em up,3586,sexual content,17510,science fiction,Baldr Fist,6,PC (Microsoft Windows),26563,Custom Maid 3D 2,28465,Porno Studio Tycoon,36977,Deep Space Waifu,54775,Shadows: Awakening,77811,LAB2-UndeR GrounD-,77884,SUCCUBUS: The SIX Spells,89550,Zoids Wild: Blast Unleashed,113109,Marvel Ultimate Alliance 3: The Black Order,115283,Astral Chain,115741,S*xdays Going to school,1,Action,18,Science fiction,,,,,42,Erotic,,,,,34,Visual Novel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159298,0,3075,Yu-Gi-Oh!,57,Yu-Gi-Oh!,1,Single player,13,Simulator,3305,yugioh,23049,f2p,Yu-Gi-Oh! Master Duel,6,PC (Microsoft Windows),17613,Sovereignty: Crown of Kings,18623,Villagers,31515,Another Brick in the Mall,36258,Order of Battle: World War II,51577,Rise of Industry,65827,Bronze Age,79134,Ancient Cities,102163,Dawn of Man,103232,Super Seducer 2,112754,Business Magnate,17,Fantasy,,,2,Multiplayer,,,,,,,,,15,Strategy,,,,,,,,,,,,,,,34,Android,35,Card & Board Game,39,iOS,48,PlayStation 4,49,Xbox One,130,Nintendo Switch,167,PlayStation 5,169,Xbox Series X|S,74.5045449328108,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151541,0,327,Streets of Rage,833,Streets of Rage,1,Single player,25,Hack and slash/Beat 'em up,396,japanese,1358,beat em up,Bare Knuckle III,5,Wii,54775,Shadows: Awakening,68855,Blast Out,76253,Devil May Cry 5,103168,Warhammer: Chaosbane,105049,Remnant: From the Ashes,113109,Marvel Ultimate Alliance 3: The Black Order,113895,Havocado,115283,Astral Chain,118490,Pokémon Rumble Rush,119244,Darksiders Genesis,1,Action,,,2,Multiplayer,3,Co-operative,,,,,,,,,9164,british english localisation,25187,streets of rage,26906,retroachievements,29745,fan translation - english,31170,supported language - english,,,,,29,Sega Mega Drive/Genesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152361,3,7117,Game & Watch: Color Screen,596,The Legend of Zelda,1,Single player,31,Adventure,2209,zelda,17069,game & watch,Game & Watch: The Legend of Zelda,307,Game & Watch,55199,Dragon: Marked for Death,81249,The Elder Scrolls VI,96217,Eternity: The Last Unicorn,101608,Anima: Gate of Memories - The Nameless Chronicles,103303,The Elder Scrolls: Blades,103369,KILL la KILL: IF,106987,Torchlight III,110503,Degrees of Separation,113360,Hytale,115653,Pokémon Shield,17,Fantasy,,,,,,,,,,,,,33,Arcade,23793,the legend of zelda,29110,game & watch: color screen,31821,the legend of zelda 35th anniversary,,,,,,,,,,,,,,,,,,,,,,,,,,,1629,Game & watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
