id,category,collection/id,collection/name,franchises/0/id,franchises/0/name,game_modes/0/id,game_modes/0/name,game_modes/1/id,game_modes/1/name,genres/0/id,genres/0/name,genres/1/id,genres/1/name,genres/2/id,genres/2/name,keywords/0/id,keywords/0/name,keywords/1/id,keywords/1/name,keywords/2/id,keywords/2/name,keywords/3/id,keywords/3/name,keywords/4/id,keywords/4/name,keywords/5/id,keywords/5/name,keywords/6/id,keywords/6/name,keywords/7/id,keywords/7/name,keywords/8/id,keywords/8/name,keywords/9/id,keywords/9/name,keywords/10/id,keywords/10/name,name,platforms/0/id,platforms/0/name,similar_games/0/id,similar_games/0/name,similar_games/1/id,similar_games/1/name,similar_games/2/id,similar_games/2/name,similar_games/3/id,similar_games/3/name,similar_games/4/id,similar_games/4/name,similar_games/5/id,similar_games/5/name,similar_games/6/id,similar_games/6/name,similar_games/7/id,similar_games/7/name,similar_games/8/id,similar_games/8/name,similar_games/9/id,similar_games/9/name,themes/0/id,themes/0/name,franchises/1/id,franchises/1/name,rating,rating_count,themes/1/id,themes/1/name,keywords/11/id,keywords/11/name,keywords/12/id,keywords/12/name,keywords/13/id,keywords/13/name,keywords/14/id,keywords/14/name,keywords/15/id,keywords/15/name,keywords/16/id,keywords/16/name,platforms/1/id,platforms/1/name,genres/3/id,genres/3/name,platforms/2/id,platforms/2/name,themes/2/id,themes/2/name,keywords/17/id,keywords/17/name,keywords/18/id,keywords/18/name,keywords/19/id,keywords/19/name,keywords/20/id,keywords/20/name,keywords/21/id,keywords/21/name,keywords/22/id,keywords/22/name,franchises/2/id,franchises/2/name,franchises/3/id,franchises/3/name,franchises/4/id,franchises/4/name,franchises/5/id,franchises/5/name,game_modes/2/id,game_modes/2/name,keywords/23/id,keywords/23/name,keywords/24/id,keywords/24/name,keywords/25/id,keywords/25/name,keywords/26/id,keywords/26/name,keywords/27/id,keywords/27/name,keywords/28/id,keywords/28/name,keywords/29/id,keywords/29/name,keywords/30/id,keywords/30/name,keywords/31/id,keywords/31/name,keywords/32/id,keywords/32/name,keywords/33/id,keywords/33/name,keywords/34/id,keywords/34/name,keywords/35/id,keywords/35/name,keywords/36/id,keywords/36/name,keywords/37/id,keywords/37/name,platforms/3/id,platforms/3/name,themes/3/id,themes/3/name,keywords/38/id,keywords/38/name,keywords/39/id,keywords/39/name,keywords/40/id,keywords/40/name,keywords/41/id,keywords/41/name,keywords/42/id,keywords/42/name,keywords/43/id,keywords/43/name,keywords/44/id,keywords/44/name,keywords/45/id,keywords/45/name,keywords/46/id,keywords/46/name,keywords/47/id,keywords/47/name,keywords/48/id,keywords/48/name,keywords/49/id,keywords/49/name,keywords/50/id,keywords/50/name,keywords/51/id,keywords/51/name,keywords/52/id,keywords/52/name,keywords/53/id,keywords/53/name,keywords/54/id,keywords/54/name,keywords/55/id,keywords/55/name,keywords/56/id,keywords/56/name,keywords/57/id,keywords/57/name,keywords/58/id,keywords/58/name,keywords/59/id,keywords/59/name,keywords/60/id,keywords/60/name,game_modes/3/id,game_modes/3/name,game_modes/4/id,game_modes/4/name,platforms/4/id,platforms/4/name,platforms/5/id,platforms/5/name,platforms/6/id,platforms/6/name,platforms/7/id,platforms/7/name,platforms/8/id,platforms/8/name,platforms/9/id,platforms/9/name,themes/4/id,themes/4/name,keywords/61/id,keywords/61/name,keywords/62/id,keywords/62/name,keywords/63/id,keywords/63/name,keywords/64/id,keywords/64/name,keywords/65/id,keywords/65/name,keywords/66/id,keywords/66/name,keywords/67/id,keywords/67/name,keywords/68/id,keywords/68/name,keywords/69/id,keywords/69/name,keywords/70/id,keywords/70/name,keywords/71/id,keywords/71/name,keywords/72/id,keywords/72/name,keywords/73/id,keywords/73/name,keywords/74/id,keywords/74/name,keywords/75/id,keywords/75/name,keywords/76/id,keywords/76/name,keywords/77/id,keywords/77/name,keywords/78/id,keywords/78/name,keywords/79/id,keywords/79/name,keywords/80/id,keywords/80/name,keywords/81/id,keywords/81/name,keywords/82/id,keywords/82/name,keywords/83/id,keywords/83/name,keywords/84/id,keywords/84/name,keywords/85/id,keywords/85/name,keywords/86/id,keywords/86/name,keywords/87/id,keywords/87/name,keywords/88/id,keywords/88/name,keywords/89/id,keywords/89/name,keywords/90/id,keywords/90/name,keywords/91/id,keywords/91/name,keywords/92/id,keywords/92/name,keywords/93/id,keywords/93/name,keywords/94/id,keywords/94/name,keywords/95/id,keywords/95/name,keywords/96/id,keywords/96/name,keywords/97/id,keywords/97/name,keywords/98/id,keywords/98/name,keywords/99/id,keywords/99/name,keywords/100/id,keywords/100/name,keywords/101/id,keywords/101/name,keywords/102/id,keywords/102/name,keywords/103/id,keywords/103/name,keywords/104/id,keywords/104/name,keywords/105/id,keywords/105/name,franchises/6/id,franchises/6/name,genres/4/id,genres/4/name,genres/5/id,genres/5/name,franchises/7/id,franchises/7/name,themes/5/id,themes/5/name
62839,11,6858,Dancing Stage,1651,BEMANI,1,Single player,2,Multiplayer,7,Music,9,Puzzle,33,Arcade,168,rhythm,871,arcade game,965,rythmic,1699,dancing,12853,dance mat,17875,beat,24225,multiple songs,24686,ddr,25378,bemani,25644,dancing stage,27744,dance dance revolution,Dancing Stage Max,8,PlayStation 2,18981,Audioshield,25905,Winds of Revenge,73426,Dance Dance Revolution 3rdMIX,79708,Dance Dance Revolution 4thMIX,90788,Munchkin Match,94097,DanceDanceRevolution,98239,Dance Dance Revolution X3 VS 2ndMIX,128003,Dance Dance Revolution STR!KE,135509,Dance Dance Revolution Solo BASS MIX,135510,Dance Dance Revolution Solo 2000,40,Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68440,0,3908,Superman,44,DC Comics,1,Single player,,,8,Platform,,,,,2391,based on a comic,,,,,,,,,,,,,,,,,,,,,Superman,18,Nintendo Entertainment System,25311,Star Control: Origins,28070,Planet Alpha,55042,Blazing Chrome,57187,Crackle Cradle,86477,The Surge 2,89550,Zoids Wild: Blast Unleashed,105269,Gene Rain,113362,PlanetSide Arena,115283,Astral Chain,120184,SolSeraph,1,Action,644,Superman,50.2414023794038,7,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38015,0,,,3298,Ginga Sengoku Gunyuuden Rai,1,Single player,,,15,Strategy,,,,,78,anime,970,sci-fi,3782,strategy,,,,,,,,,,,,,,,,,Ginga Sengoku Gunyuu-den Rai,58,Super Famicom,8714,Sid Meier's Starships,11582,Stellaris,13200,Planetbase,13660,StarDrive 2,16806,Distant Worlds: Universe,17130,Unclaimed World,17613,Sovereignty: Crown of Kings,24620,Polaris Sector,34823,Sol 0: Mars Colonization,61985,Soul-Arena,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56953,0,3166,Family Stadium,4056,Family Stadium,1,Single player,,,14,Sport,,,,,20,baseball,350,comedy,732,ufo,4229,nippon professional baseball,4378,super deformation,4657,mascot sports,4658,baseball bat,,,,,,,,,Pro Yakyuu Famista Climax,37,Nintendo 3DS,37836,Super Famista 2,38010,Hatayama Hacchi no Pro Yakyuu News! Jitsumei-ban,38174,Hakunetsu Pro Yakyuu Ganba League '93,48304,Pro Yakyuu Family Stadium '88: Nendo-ban,57868,Jikkyou Pawafuru Puroyakyu Heroes,60057,Pro Yakyuu Famista Returns,80116,Major League Baseball 2K9 Fantasy All-Stars,83137,Nessen Koushien: Exciting Baseball,114286,Madden NFL 20,116353,Real Football 2019,27,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69295,0,,,1147,Haruhi Suzumiya,1,Single player,2,Multiplayer,7,Music,34,Visual Novel,,,20,baseball,78,anime,168,rhythm,274,minigames,412,dance,642,exercise,2606,rock paper scissors,3126,based on an anime,3906,story mode,4137,music/rhythm,23114,english not supported,Suzumiya Haruhi no Gekidou,5,Wii,7364,Little Busters!,11711,The Idolmaster: Cinderella Girls - Starlight Stage,18981,Audioshield,36660,Love Live! School Idol Festival,63793,Mermaid Melody: Pichi Pichi Pitch - Pichi Pichitto Live Start!,63933,EZ2ON,77720,Re:Stage! Prism Step,78969,Uta Macross Sma-Pho De-Culture,80138,BanG Dream! Girls Band Party!,103315,Just Dance 2019,40,Party,,,,,,,23960,haruhi suzumiya,23961,suzumiya haruhi,25265,japan only,31164,supported language - japanese,31704,made in japan,32415,jankenpon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65583,0,2986,Disney,26,Disney,1,Single player,,,26,Quiz/Trivia,33,Arcade,,,4139,trivia/board game,4142,licensed game,4178,options menu,4370,super game boy enhancement,,,,,,,,,,,,,,,Disney's Beauty and the Beast: A Board Game Adventure,22,Game Boy Color,19164,Borderlands 3,54775,Shadows: Awakening,81249,The Elder Scrolls VI,96217,Eternity: The Last Unicorn,103303,The Elder Scrolls: Blades,103369,KILL la KILL: IF,106987,Torchlight III,110503,Degrees of Separation,113360,Hytale,113636,Rangers of Oblivion,1,Action,3129,Disney's Beauty and the Beast,,,17,Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74109,0,765,Sakura Wars,2011,Sakura Wars,1,Single player,,,25,Hack and slash/Beat 'em up,31,Adventure,,,9,western,78,anime,906,steampunk,985,wild west,3433,horse riding,,,,,,,,,,,,,Sakura Taisen V Episode 0: Kouya no Samurai Musume,8,PlayStation 2,28010,God Eater 3,76253,Devil May Cry 5,87622,Garena Free Fire,96217,Eternity: The Last Unicorn,103168,Warhammer: Chaosbane,105049,Remnant: From the Ashes,106987,Torchlight III,111130,Apsulov: End of Gods,114009,Dragon Ball Z: Kakarot,115283,Astral Chain,1,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36686,0,,,252,Judge Dredd,1,Single player,,,5,Shooter,33,Arcade,,,2391,based on a comic,,,,,,,,,,,,,,,,,,,,,Judge Dredd,15,Commodore C64/128/MAX,306,Far Cry,43367,Rico,55038,Immortal: Unchained,55042,Blazing Chrome,68286,Earth Defense Force: Iron Rain,103301,Wolfenstein: Youngblood,105049,Remnant: From the Ashes,105269,Gene Rain,106805,Call of Duty: Mobile,113362,PlanetSide Arena,1,Action,,,,,18,Science fiction,,,,,,,,,,,,,26,ZX Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77845,0,4451,Soukou Kihei Votoms,1178,Soukou Kihei Votoms,1,Single player,,,5,Shooter,,,,,78,anime,167,mech,897,third person shooter,1448,mecha,3539,mechs,4141,games based on anime,4525,third-person perspective,25367,mechas,,,,,,,Soukou Kihei Votoms: Uoodo-Kummen Hen,7,PlayStation,19164,Borderlands 3,38030,Phantomers Insurreccion,55038,Immortal: Unchained,68287,Left Alive,76263,Contraband Police,85861,Soukou Kihei Votoms,102868,World War 3,105049,Remnant: From the Ashes,106805,Call of Duty: Mobile,119177,Call of Duty: Modern Warfare,1,Action,,,,,39,Warfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66308,0,4408,Evil Dead,600,Evil Dead,2,Multiplayer,3,Co-operative,5,Shooter,,,,,1033,action-adventure,1120,horror,1623,dual-stick shooter,4283,dual-joystick shooter,4614,extreme violence,,,,,,,,,,,,,Evil Dead: The Game,39,iOS,520,F.E.A.R. 2: Project Origin,18225,The Sinking City,25646,Don't Knock Twice,36646,GTFO,47823,Citadel: Forged With Fire,105049,Remnant: From the Ashes,106805,Call of Duty: Mobile,111130,Apsulov: End of Gods,114455,Pacify,119177,Call of Duty: Modern Warfare,1,Action,,,,,19,Horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
