id,category,collection/id,collection/name,franchises/0/id,franchises/0/name,franchises/1/id,franchises/1/name,game_modes/0/id,game_modes/0/name,game_modes/1/id,game_modes/1/name,game_modes/2/id,game_modes/2/name,genres/0/id,genres/0/name,genres/1/id,genres/1/name,keywords/0/id,keywords/0/name,keywords/1/id,keywords/1/name,keywords/2/id,keywords/2/name,keywords/3/id,keywords/3/name,keywords/4/id,keywords/4/name,keywords/5/id,keywords/5/name,keywords/6/id,keywords/6/name,keywords/7/id,keywords/7/name,keywords/8/id,keywords/8/name,keywords/9/id,keywords/9/name,keywords/10/id,keywords/10/name,keywords/11/id,keywords/11/name,keywords/12/id,keywords/12/name,keywords/13/id,keywords/13/name,keywords/14/id,keywords/14/name,keywords/15/id,keywords/15/name,keywords/16/id,keywords/16/name,keywords/17/id,keywords/17/name,keywords/18/id,keywords/18/name,keywords/19/id,keywords/19/name,keywords/20/id,keywords/20/name,keywords/21/id,keywords/21/name,keywords/22/id,keywords/22/name,keywords/23/id,keywords/23/name,keywords/24/id,keywords/24/name,keywords/25/id,keywords/25/name,keywords/26/id,keywords/26/name,keywords/27/id,keywords/27/name,keywords/28/id,keywords/28/name,keywords/29/id,keywords/29/name,keywords/30/id,keywords/30/name,keywords/31/id,keywords/31/name,keywords/32/id,keywords/32/name,keywords/33/id,keywords/33/name,keywords/34/id,keywords/34/name,name,platforms/0/id,platforms/0/name,platforms/1/id,platforms/1/name,platforms/2/id,platforms/2/name,platforms/3/id,platforms/3/name,platforms/4/id,platforms/4/name,platforms/5/id,platforms/5/name,platforms/6/id,platforms/6/name,platforms/7/id,platforms/7/name,platforms/8/id,platforms/8/name,rating,rating_count,similar_games/0/id,similar_games/0/name,similar_games/1/id,similar_games/1/name,similar_games/2/id,similar_games/2/name,similar_games/3/id,similar_games/3/name,similar_games/4/id,similar_games/4/name,similar_games/5/id,similar_games/5/name,similar_games/6/id,similar_games/6/name,similar_games/7/id,similar_games/7/name,similar_games/8/id,similar_games/8/name,similar_games/9/id,similar_games/9/name,themes/0/id,themes/0/name,themes/1/id,themes/1/name,genres/2/id,genres/2/name,keywords/35/id,keywords/35/name,keywords/36/id,keywords/36/name,keywords/37/id,keywords/37/name,keywords/38/id,keywords/38/name,keywords/39/id,keywords/39/name,keywords/40/id,keywords/40/name,keywords/41/id,keywords/41/name,keywords/42/id,keywords/42/name,keywords/43/id,keywords/43/name,keywords/44/id,keywords/44/name,keywords/45/id,keywords/45/name,keywords/46/id,keywords/46/name,keywords/47/id,keywords/47/name,keywords/48/id,keywords/48/name,keywords/49/id,keywords/49/name,keywords/50/id,keywords/50/name,themes/2/id,themes/2/name,genres/3/id,genres/3/name,genres/4/id,genres/4/name,themes/3/id,themes/3/name,keywords/51/id,keywords/51/name,keywords/52/id,keywords/52/name,keywords/53/id,keywords/53/name,keywords/54/id,keywords/54/name,keywords/55/id,keywords/55/name,keywords/56/id,keywords/56/name,keywords/57/id,keywords/57/name,keywords/58/id,keywords/58/name,keywords/59/id,keywords/59/name,keywords/60/id,keywords/60/name,keywords/61/id,keywords/61/name,keywords/62/id,keywords/62/name,keywords/63/id,keywords/63/name,keywords/64/id,keywords/64/name,keywords/65/id,keywords/65/name,keywords/66/id,keywords/66/name,keywords/67/id,keywords/67/name,keywords/68/id,keywords/68/name,keywords/69/id,keywords/69/name,keywords/70/id,keywords/70/name,keywords/71/id,keywords/71/name,keywords/72/id,keywords/72/name,keywords/73/id,keywords/73/name,keywords/74/id,keywords/74/name,keywords/75/id,keywords/75/name,keywords/76/id,keywords/76/name,keywords/77/id,keywords/77/name,keywords/78/id,keywords/78/name,keywords/79/id,keywords/79/name,keywords/80/id,keywords/80/name,keywords/81/id,keywords/81/name,keywords/82/id,keywords/82/name,keywords/83/id,keywords/83/name,keywords/84/id,keywords/84/name,keywords/85/id,keywords/85/name,keywords/86/id,keywords/86/name,keywords/87/id,keywords/87/name,keywords/88/id,keywords/88/name,keywords/89/id,keywords/89/name,keywords/90/id,keywords/90/name,keywords/91/id,keywords/91/name,keywords/92/id,keywords/92/name,keywords/93/id,keywords/93/name,keywords/94/id,keywords/94/name,keywords/95/id,keywords/95/name,keywords/96/id,keywords/96/name,keywords/97/id,keywords/97/name,keywords/98/id,keywords/98/name,keywords/99/id,keywords/99/name,keywords/100/id,keywords/100/name,keywords/101/id,keywords/101/name,keywords/102/id,keywords/102/name,keywords/103/id,keywords/103/name,keywords/104/id,keywords/104/name,keywords/105/id,keywords/105/name,keywords/106/id,keywords/106/name,keywords/107/id,keywords/107/name,keywords/108/id,keywords/108/name,keywords/109/id,keywords/109/name,keywords/110/id,keywords/110/name,keywords/111/id,keywords/111/name,keywords/112/id,keywords/112/name,keywords/113/id,keywords/113/name,keywords/114/id,keywords/114/name,keywords/115/id,keywords/115/name,keywords/116/id,keywords/116/name,keywords/117/id,keywords/117/name,keywords/118/id,keywords/118/name,keywords/119/id,keywords/119/name,keywords/120/id,keywords/120/name,keywords/121/id,keywords/121/name,keywords/122/id,keywords/122/name,keywords/123/id,keywords/123/name,keywords/124/id,keywords/124/name,keywords/125/id,keywords/125/name,keywords/126/id,keywords/126/name,keywords/127/id,keywords/127/name,franchises/2/id,franchises/2/name,franchises/3/id,franchises/3/name,game_modes/3/id,game_modes/3/name,keywords/128/id,keywords/128/name,keywords/129/id,keywords/129/name,keywords/130/id,keywords/130/name,keywords/131/id,keywords/131/name,keywords/132/id,keywords/132/name,keywords/133/id,keywords/133/name,keywords/134/id,keywords/134/name,keywords/135/id,keywords/135/name,keywords/136/id,keywords/136/name,keywords/137/id,keywords/137/name,keywords/138/id,keywords/138/name,keywords/139/id,keywords/139/name,keywords/140/id,keywords/140/name,keywords/141/id,keywords/141/name,keywords/142/id,keywords/142/name,keywords/143/id,keywords/143/name,keywords/144/id,keywords/144/name,keywords/145/id,keywords/145/name,keywords/146/id,keywords/146/name,keywords/147/id,keywords/147/name,keywords/148/id,keywords/148/name,keywords/149/id,keywords/149/name,keywords/150/id,keywords/150/name,keywords/151/id,keywords/151/name,keywords/152/id,keywords/152/name,keywords/153/id,keywords/153/name,platforms/9/id,platforms/9/name,platforms/10/id,platforms/10/name,keywords/154/id,keywords/154/name,keywords/155/id,keywords/155/name,keywords/156/id,keywords/156/name,keywords/157/id,keywords/157/name,keywords/158/id,keywords/158/name,keywords/159/id,keywords/159/name,keywords/160/id,keywords/160/name,keywords/161/id,keywords/161/name,keywords/162/id,keywords/162/name,keywords/163/id,keywords/163/name,keywords/164/id,keywords/164/name,keywords/165/id,keywords/165/name,keywords/166/id,keywords/166/name,keywords/167/id,keywords/167/name,keywords/168/id,keywords/168/name,keywords/169/id,keywords/169/name,keywords/170/id,keywords/170/name,keywords/171/id,keywords/171/name,keywords/172/id,keywords/172/name,keywords/173/id,keywords/173/name,keywords/174/id,keywords/174/name,keywords/175/id,keywords/175/name,keywords/176/id,keywords/176/name,keywords/177/id,keywords/177/name,keywords/178/id,keywords/178/name,keywords/179/id,keywords/179/name,keywords/180/id,keywords/180/name,keywords/181/id,keywords/181/name,keywords/182/id,keywords/182/name,keywords/183/id,keywords/183/name,keywords/184/id,keywords/184/name,keywords/185/id,keywords/185/name,keywords/186/id,keywords/186/name,keywords/187/id,keywords/187/name,keywords/188/id,keywords/188/name,keywords/189/id,keywords/189/name,keywords/190/id,keywords/190/name,themes/4/id,themes/4/name,platforms/11/id,platforms/11/name,platforms/12/id,platforms/12/name,themes/5/id,themes/5/name,franchises/4/id,franchises/4/name,franchises/5/id,franchises/5/name,franchises/6/id,franchises/6/name,franchises/7/id,franchises/7/name,franchises/8/id,franchises/8/name,franchises/9/id,franchises/9/name,franchises/10/id,franchises/10/name,franchises/11/id,franchises/11/name,franchises/12/id,franchises/12/name,franchises/13/id,franchises/13/name,franchises/14/id,franchises/14/name,franchises/15/id,franchises/15/name,franchises/16/id,franchises/16/name,franchises/17/id,franchises/17/name,franchises/18/id,franchises/18/name,franchises/19/id,franchises/19/name,franchises/20/id,franchises/20/name,franchises/21/id,franchises/21/name,franchises/22/id,franchises/22/name,franchises/23/id,franchises/23/name,franchises/24/id,franchises/24/name,franchises/25/id,franchises/25/name,franchises/26/id,franchises/26/name,franchises/27/id,franchises/27/name,franchises/28/id,franchises/28/name,franchises/29/id,franchises/29/name,genres/5/id,genres/5/name,platforms/13/id,platforms/13/name,platforms/14/id,platforms/14/name,keywords/191/id,keywords/191/name,keywords/192/id,keywords/192/name
11069,0,3015,LEGO,51,LEGO,124,Marvel,1,Single player,2,Multiplayer,3,Co-operative,8,Platform,31,Adventure,14,super hero,350,comedy,410,lego,668,marvel,794,avengers,1033,action-adventure,2387,superhero,3540,comic book,3550,hulk,4651,lego minifigure,4698,cooperative play,4717,off-tv play,4796,playstation experience 2015,4805,comic book character,4813,based on toy or toyline,4824,games based on movies based on comics,4871,pax east 2016,4930,two screen multiplayer,4931,wii u pro controller support,4932,wii remote support on wii u,4933,wii nunchuk support on wii u,4937,lego stud,4938,lego bricks,5160,selfies,5203,the avengers,5206,a.i.m.,8298,inhumans,9475,hulkbuster armor,9673,tesseract,10104,chitauri,10429,spudgun,19039,captain america,19040,iron man,19041,scarlet witch,19042,"thor,...",LEGO Marvel's Avengers,6,PC (Microsoft Windows),9,PlayStation 3,12,Xbox 360,14,Mac,37,Nintendo 3DS,41,Wii U,46,PlayStation Vita,48,PlayStation 4,49,Xbox One,60.4414795746031,46,4755,The Amazing Spider-Man 2,17379,Miscreated,18869,Mages of Mystralia,19565,Marvel's Spider-Man,20329,Figment,26950,Marvel's Avengers,28309,Tanzia,36198,Children of Morta,55190,Pikuniku,80916,Omensight,1,Action,27,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21231,0,2453,Naruto: Uzumaki Chronicles,221,Naruto,,,1,Single player,2,Multiplayer,,,4,Fighting,25,Hack and slash/Beat 'em up,61,martial arts,78,anime,164,ninja,296,fantasy,301,health,558,death,977,hand-to-hand combat,982,brawler,1027,adventure,2184,talking animals,2262,anime-based,3776,shuriken,4142,licensed game,4161,jump,4179,throwing weapons,4310,games based on comic books,4350,bomb,4359,polygonal 3d,4393,explosives,4678,multiple characters on box art,4866,slashing weapons,5042,s-rank,5394,tsundere,5846,kunai,5990,jinchuuriki,6463,heterochromia,6901,ramen,8732,akatsuki,8885,sharingan,10666,ninjutsu,11110,hand seals,11164,genjutsu,13083,e3 2007,14061,windmill shuriken,,,Naruto: Uzumaki Chronicles 2,8,PlayStation 2,,,,,,,,,,,,,,,,,53.6431723626583,16,4755,The Amazing Spider-Man 2,7098,Naruto Shippuden: Ultimate Ninja Storm 2,7099,Naruto Shippuden: Ultimate Ninja Storm 3,7100,Naruto Shippuden: Ultimate Ninja Storm Generations,7102,Naruto: The Broken Bond,14704,Rise of Incarnates,18386,Naruto: Ultimate Ninja,20602,Naruto: Uzumaki Chronicles,24281,Naruto: Ultimate Ninja Heroes,24426,Forgotton Anne,1,Action,,,31,Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782,0,278,Sparkster,1815,Sparkster,,,1,Single player,5,Massively Multiplayer Online (MMO),,,8,Platform,12,Role-playing (RPG),151,medieval,163,side scroller,227,sword,296,fantasy,301,health,589,2.5d,900,mmorpg,992,flight,1059,side-scrolling,1158,steam,1207,halloween,2049,platformer,2898,action game,3486,boss fight,3741,jet pack,3833,bosses,3912,boost,4004,steam achievements,4134,digital distribution,4135,xbox 360 controller support for pc,4150,steam cloud,4162,anthropomorphism,4344,controller recommendation,5523,leaderboard,5633,xbox one backwards compatibility,5722,auto-scrolling levels,5772,advancing wall of doom,5842,noscon,6146,spin attack,7372,limited flight capability,7415,gaping person on cover art,7600,playstation 3,12462,e3 2010,14489,opossum,17215,ps3,Rocket Knight,6,PC (Microsoft Windows),9,PlayStation 3,12,Xbox 360,,,,,,,,,,,,,66.1267561247608,5,3222,Chasm,8746,Aura Kingdom,10388,Legends of Eisenwald,19150,Vagante,22387,Legrand Legacy,24426,Forgotton Anne,34155,The Black Death,36198,Children of Morta,55190,Pikuniku,56033,Dream Alone,1,Action,22,Historical,31,Adventure,22090,rocket knight,22091,rocket knight game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14262,0,,,37,James Bond,,,1,Single player,,,,,5,Shooter,10,Racing,1286,based on a movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live and Let Die: The Computer Game,15,Commodore C64/128/MAX,16,Amiga,25,Amstrad CPC,26,ZX Spectrum,63,Atari ST/STE,,,,,,,,,,,32902,GentleMoon 2,43367,Rico,76263,Contraband Police,95340,PUBG Mobile,103292,Gears 5,105049,Remnant: From the Ashes,105269,Gene Rain,106805,Call of Duty: Mobile,118871,GRID,119177,Call of Duty: Modern Warfare,1,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12027,0,1596,.hack//G.U,607,.Hack,,,1,Single player,,,,,12,Role-playing (RPG),,,78,anime,521,jrpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.hack//G.U. Vol. 3: Redemption,8,PlayStation 2,,,,,,,,,,,,,,,,,,,22792,Princess Connect!,28010,God Eater 3,49414,Oriental Blue,55038,Immortal: Unchained,96217,Eternity: The Last Unicorn,99118,Dragalia Lost,106987,Torchlight III,111187,Eve: Echoes,114009,Dragon Ball Z: Kakarot,115653,Pokémon Shield,17,Fantasy,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24065,0,2436,Naruto: Ninja Council,221,Naruto,,,1,Single player,2,Multiplayer,,,8,Platform,25,Hack and slash/Beat 'em up,78,anime,164,ninja,227,sword,296,fantasy,558,death,977,hand-to-hand combat,2049,platformer,2155,wall jump,2262,anime-based,3776,shuriken,4141,games based on anime,4142,licensed game,4161,jump,4179,throwing weapons,4239,platform exclusive,4379,adapted from television,4574,headband,4672,game for platform,4866,slashing weapons,5394,tsundere,5782,tie-in,5846,kunai,6463,heterochromia,7511,makibishi,8732,akatsuki,10666,ninjutsu,11111,hidden village,11164,genjutsu,11165,taijutsu,,,,,,,,,,,,,Naruto: Ninja Council 2,24,Game Boy Advance,,,,,,,,,,,,,,,,,59.8293114116487,12,4026,Naruto: Clash of Ninja,7099,Naruto Shippuden: Ultimate Ninja Storm 3,7100,Naruto Shippuden: Ultimate Ninja Storm Generations,7102,Naruto: The Broken Bond,18386,Naruto: Ultimate Ninja,19621,Naruto: Ultimate Ninja 2,20602,Naruto: Uzumaki Chronicles,24289,Naruto: Clash of Ninja 2,24426,Forgotton Anne,56033,Dream Alone,1,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24270,0,2436,Naruto: Ninja Council,221,Naruto,,,1,Single player,,,,,4,Fighting,31,Adventure,78,anime,2262,anime-based,4142,licensed game,4161,jump,4310,games based on comic books,4678,multiple characters on box art,4866,slashing weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naruto Shippuden: Naruto vs. Sasuke,20,Nintendo DS,,,,,,,,,,,,,,,,,,,4052,One Piece: Grand Battle!,24310,Naruto Shippuden: Kizuna Drive,28010,God Eater 3,96217,Eternity: The Last Unicorn,101608,Anima: Gate of Memories - The Nameless Chronicles,103369,KILL la KILL: IF,105049,Remnant: From the Ashes,106987,Torchlight III,111130,Apsulov: End of Gods,114145,Ben 10: Battle Ready,1,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11485,0,3440,Star Trek,18,Star Trek,,,1,Single player,,,,,5,Shooter,15,Strategy,934,pinball,947,spaceship,970,sci-fi,1025,shooter,8241,discrete logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Star Trek,104,HP 2100,106,SDS Sigma 7,,,,,,,,,,,,,,,,,13200,Planetbase,13660,StarDrive 2,17130,Unclaimed World,24620,Polaris Sector,34823,Sol 0: Mars Colonization,55038,Immortal: Unchained,57187,Crackle Cradle,68286,Earth Defense Force: Iron Rain,68287,Left Alive,111846,Void Bastards,18,Science fiction,,,30,Pinball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24066,0,2436,Naruto: Ninja Council,221,Naruto,,,1,Single player,2,Multiplayer,,,15,Strategy,25,Hack and slash/Beat 'em up,78,anime,164,ninja,227,sword,301,health,558,death,977,hand-to-hand combat,1026,role playing,1299,time limit,1756,snakes,1935,dog,2759,turtle,2978,puppet,3776,shuriken,3782,strategy,4141,games based on anime,4142,licensed game,4161,jump,4179,throwing weapons,4302,fireball,4350,bomb,4353,human,4364,sand,4379,adapted from television,4393,explosives,4481,fart,4574,headband,4678,multiple characters on box art,4866,slashing weapons,5354,combo,5394,tsundere,5756,fan,5846,kunai,5935,elements,5990,jinchuuriki,5992,kage,Naruto: Ninja Council,24,Game Boy Advance,,,,,,,,,,,,,,,,,68.2840992471412,10,7098,Naruto Shippuden: Ultimate Ninja Storm 2,7099,Naruto Shippuden: Ultimate Ninja Storm 3,7100,Naruto Shippuden: Ultimate Ninja Storm Generations,7102,Naruto: The Broken Bond,18386,Naruto: Ultimate Ninja,19626,Naruto: Ultimate Ninja 3,20602,Naruto: Uzumaki Chronicles,20778,Naruto: Ninja Destiny,21231,Naruto: Uzumaki Chronicles 2,24281,Naruto: Ultimate Ninja Heroes,1,Action,,,,,5993,byakugan,6117,teenager,6463,heterochromia,6499,shadow clone,6653,fire manipulation,6780,earth manipulation,6901,ramen,7601,lightning manipulation,8193,air manipulation,8732,akatsuki,8874,kunoichi,8885,sharingan,10666,ninjutsu,11110,hand seals,11163,chakra,11164,genjutsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20485,0,187,Prince of Persia,495,Prince of Persia,,,1,Single player,2,Multiplayer,,,15,Strategy,,,137,gravity,170,time travel,227,sword,296,fantasy,558,death,826,time manipulation,953,mythology,2472,sword & sorcery,2762,islam,3278,beams,3782,strategy,4155,alternate historical,4161,jump,4866,slashing weapons,5823,motion capture animation,7611,piercing weapons,7688,prince,8211,turban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battles of Prince of Persia,20,Nintendo DS,,,,,,,,,,,,,,,,,40,4,6985,Three Kingdoms: Fate of the Dragon,7615,Might & Magic Heroes VII,9472,Sorcerer King,14394,Battle Brothers,19404,Eador: Imperium,23345,Life is Feudal: Forest Village,26940,The Banner Saga 3,27092,GreedFall,36553,Medieval Kingdom Wars,55036,Anno 1800,17,Fantasy,22,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
