id,category,collection/id,collection/name,franchises/0/id,franchises/0/name,game_modes/0/id,game_modes/0/name,game_modes/1/id,game_modes/1/name,game_modes/2/id,game_modes/2/name,genres/0/id,genres/0/name,genres/1/id,genres/1/name,genres/2/id,genres/2/name,keywords/0/id,keywords/0/name,keywords/1/id,keywords/1/name,keywords/2/id,keywords/2/name,keywords/3/id,keywords/3/name,keywords/4/id,keywords/4/name,keywords/5/id,keywords/5/name,keywords/6/id,keywords/6/name,keywords/7/id,keywords/7/name,keywords/8/id,keywords/8/name,keywords/9/id,keywords/9/name,keywords/10/id,keywords/10/name,keywords/11/id,keywords/11/name,keywords/12/id,keywords/12/name,name,platforms/0/id,platforms/0/name,platforms/1/id,platforms/1/name,platforms/2/id,platforms/2/name,platforms/3/id,platforms/3/name,rating,rating_count,similar_games/0/id,similar_games/0/name,similar_games/1/id,similar_games/1/name,similar_games/2/id,similar_games/2/name,similar_games/3/id,similar_games/3/name,similar_games/4/id,similar_games/4/name,similar_games/5/id,similar_games/5/name,similar_games/6/id,similar_games/6/name,similar_games/7/id,similar_games/7/name,similar_games/8/id,similar_games/8/name,similar_games/9/id,similar_games/9/name,themes/0/id,themes/0/name,themes/1/id,themes/1/name,themes/2/id,themes/2/name,themes/3/id,themes/3/name,platforms/4/id,platforms/4/name,platforms/5/id,platforms/5/name,platforms/6/id,platforms/6/name,keywords/13/id,keywords/13/name,keywords/14/id,keywords/14/name,keywords/15/id,keywords/15/name,keywords/16/id,keywords/16/name,keywords/17/id,keywords/17/name,keywords/18/id,keywords/18/name,keywords/19/id,keywords/19/name,keywords/20/id,keywords/20/name,keywords/21/id,keywords/21/name,keywords/22/id,keywords/22/name,keywords/23/id,keywords/23/name,keywords/24/id,keywords/24/name,keywords/25/id,keywords/25/name,keywords/26/id,keywords/26/name,keywords/27/id,keywords/27/name,keywords/28/id,keywords/28/name,keywords/29/id,keywords/29/name,keywords/30/id,keywords/30/name,franchises/1/id,franchises/1/name,game_modes/3/id,game_modes/3/name,keywords/31/id,keywords/31/name,keywords/32/id,keywords/32/name,keywords/33/id,keywords/33/name,keywords/34/id,keywords/34/name,keywords/35/id,keywords/35/name,keywords/36/id,keywords/36/name,keywords/37/id,keywords/37/name,keywords/38/id,keywords/38/name,keywords/39/id,keywords/39/name,keywords/40/id,keywords/40/name,keywords/41/id,keywords/41/name,keywords/42/id,keywords/42/name,keywords/43/id,keywords/43/name,keywords/44/id,keywords/44/name,keywords/45/id,keywords/45/name,genres/3/id,genres/3/name,genres/4/id,genres/4/name,franchises/2/id,franchises/2/name,franchises/3/id,franchises/3/name,franchises/4/id,franchises/4/name,franchises/5/id,franchises/5/name,franchises/6/id,franchises/6/name,franchises/7/id,franchises/7/name,franchises/8/id,franchises/8/name,franchises/9/id,franchises/9/name,franchises/10/id,franchises/10/name,franchises/11/id,franchises/11/name,franchises/12/id,franchises/12/name,franchises/13/id,franchises/13/name,franchises/14/id,franchises/14/name,franchises/15/id,franchises/15/name,franchises/16/id,franchises/16/name,franchises/17/id,franchises/17/name,franchises/18/id,franchises/18/name,franchises/19/id,franchises/19/name,franchises/20/id,franchises/20/name,franchises/21/id,franchises/21/name,franchises/22/id,franchises/22/name,franchises/23/id,franchises/23/name,franchises/24/id,franchises/24/name,franchises/25/id,franchises/25/name,franchises/26/id,franchises/26/name,franchises/27/id,franchises/27/name,franchises/28/id,franchises/28/name,franchises/29/id,franchises/29/name,franchises/30/id,franchises/30/name,franchises/31/id,franchises/31/name,franchises/32/id,franchises/32/name,franchises/33/id,franchises/33/name,franchises/34/id,franchises/34/name,franchises/35/id,franchises/35/name,franchises/36/id,franchises/36/name,franchises/37/id,franchises/37/name,franchises/38/id,franchises/38/name,franchises/39/id,franchises/39/name,franchises/40/id,franchises/40/name,franchises/41/id,franchises/41/name,franchises/42/id,franchises/42/name,keywords/46/id,keywords/46/name,keywords/47/id,keywords/47/name,keywords/48/id,keywords/48/name,keywords/49/id,keywords/49/name,keywords/50/id,keywords/50/name,keywords/51/id,keywords/51/name,keywords/52/id,keywords/52/name,keywords/53/id,keywords/53/name,keywords/54/id,keywords/54/name,keywords/55/id,keywords/55/name,keywords/56/id,keywords/56/name,keywords/57/id,keywords/57/name,keywords/58/id,keywords/58/name,keywords/59/id,keywords/59/name,keywords/60/id,keywords/60/name,keywords/61/id,keywords/61/name,keywords/62/id,keywords/62/name,keywords/63/id,keywords/63/name,keywords/64/id,keywords/64/name,keywords/65/id,keywords/65/name,keywords/66/id,keywords/66/name,keywords/67/id,keywords/67/name,keywords/68/id,keywords/68/name,keywords/69/id,keywords/69/name,keywords/70/id,keywords/70/name,keywords/71/id,keywords/71/name,keywords/72/id,keywords/72/name,keywords/73/id,keywords/73/name,keywords/74/id,keywords/74/name,keywords/75/id,keywords/75/name,keywords/76/id,keywords/76/name,keywords/77/id,keywords/77/name,keywords/78/id,keywords/78/name,keywords/79/id,keywords/79/name,keywords/80/id,keywords/80/name,keywords/81/id,keywords/81/name,keywords/82/id,keywords/82/name,keywords/83/id,keywords/83/name,keywords/84/id,keywords/84/name,keywords/85/id,keywords/85/name,genres/5/id,genres/5/name,themes/4/id,themes/4/name,themes/5/id,themes/5/name,platforms/7/id,platforms/7/name,platforms/8/id,platforms/8/name,keywords/86/id,keywords/86/name,keywords/87/id,keywords/87/name,keywords/88/id,keywords/88/name,keywords/89/id,keywords/89/name,keywords/90/id,keywords/90/name,keywords/91/id,keywords/91/name,keywords/92/id,keywords/92/name,keywords/93/id,keywords/93/name,keywords/94/id,keywords/94/name,keywords/95/id,keywords/95/name,keywords/96/id,keywords/96/name,keywords/97/id,keywords/97/name,keywords/98/id,keywords/98/name,keywords/99/id,keywords/99/name,keywords/100/id,keywords/100/name,keywords/101/id,keywords/101/name,keywords/102/id,keywords/102/name,keywords/103/id,keywords/103/name,keywords/104/id,keywords/104/name,keywords/105/id,keywords/105/name,keywords/106/id,keywords/106/name,keywords/107/id,keywords/107/name,keywords/108/id,keywords/108/name,keywords/109/id,keywords/109/name,keywords/110/id,keywords/110/name,keywords/111/id,keywords/111/name,keywords/112/id,keywords/112/name,keywords/113/id,keywords/113/name,keywords/114/id,keywords/114/name,keywords/115/id,keywords/115/name,keywords/116/id,keywords/116/name,keywords/117/id,keywords/117/name,keywords/118/id,keywords/118/name,keywords/119/id,keywords/119/name,keywords/120/id,keywords/120/name,keywords/121/id,keywords/121/name,keywords/122/id,keywords/122/name,keywords/123/id,keywords/123/name,keywords/124/id,keywords/124/name,keywords/125/id,keywords/125/name,keywords/126/id,keywords/126/name,keywords/127/id,keywords/127/name,keywords/128/id,keywords/128/name,keywords/129/id,keywords/129/name,platforms/9/id,platforms/9/name,genres/6/id,genres/6/name,keywords/130/id,keywords/130/name,keywords/131/id,keywords/131/name,keywords/132/id,keywords/132/name,keywords/133/id,keywords/133/name,keywords/134/id,keywords/134/name,keywords/135/id,keywords/135/name,keywords/136/id,keywords/136/name,keywords/137/id,keywords/137/name,keywords/138/id,keywords/138/name,keywords/139/id,keywords/139/name,keywords/140/id,keywords/140/name,keywords/141/id,keywords/141/name,keywords/142/id,keywords/142/name,keywords/143/id,keywords/143/name
17001,0,6143,Ashen,1802,Ashen,1,Single player,2,Multiplayer,3,Co-operative,12,Role-playing (RPG),31,Adventure,32,Indie,339,survival,478,rpg,1033,action-adventure,1459,open-world,1975,dungeons,2245,non-linear,2642,boss battles,2980,souls-like,4131,unreal engine 4,4134,digital distribution,4357,xbox one x enhanced,23382,epic game store,24063,stamina based combat,Ashen,6,PC (Microsoft Windows),48,PlayStation 4,49,Xbox One,130,Nintendo Switch,81.9144342971252,40,17548,Savage Lands,19164,Borderlands 3,22387,Legrand Legacy,26574,Force of Nature,28168,Code Vein,36198,Children of Morta,47823,Citadel: Forged With Fire,80916,Omensight,96217,Eternity: The Last Unicorn,106987,Torchlight III,1,Action,17,Fantasy,21,Survival,38,Open world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126168,6,5769,Vader Immortal,1,Star Wars,1,Single player,,,,,31,Adventure,,,,,896,star wars,28760,canon star wars,,,,,,,,,,,,,,,,,,,,,,,Vader Immortal: Episode III,165,PlayStation VR,384,Oculus Quest,385,Oculus Rift,386,Meta Quest 2,55.3808500508906,5,25311,Star Control: Origins,28070,Planet Alpha,55038,Immortal: Unchained,74701,Star Wars Jedi: Fallen Order,81249,The Elder Scrolls VI,96217,Eternity: The Last Unicorn,103303,The Elder Scrolls: Blades,105269,Gene Rain,106987,Torchlight III,113360,Hytale,1,Action,17,Fantasy,18,Science fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37777,0,183,Tomb Raider,279,Tomb Raider,1,Single player,3,Co-operative,,,5,Shooter,31,Adventure,,,339,survival,872,shadow,1033,action-adventure,2099,mexico,2876,lara croft,17239,tomb raider,,,,,,,,,,,,,,,Shadow of the Tomb Raider,3,Linux,6,PC (Microsoft Windows),14,Mac,48,PlayStation 4,78.0728893238623,386,9243,Life is Feudal: Your Own,17379,Miscreated,17548,Savage Lands,18225,The Sinking City,25300,Sky Break,28309,Tanzia,80916,Omensight,103292,Gears 5,105049,Remnant: From the Ashes,105269,Gene Rain,1,Action,21,Survival,22,Historical,43,Mystery,49,Xbox One,169,Xbox Series X|S,170,Google Stadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81145,0,597,Mario Tennis,845,Mario,1,Single player,2,Multiplayer,,,14,Sport,31,Adventure,,,311,tennis,2165,yoshi,2646,donkey kong,2651,pauline,3863,luma,4265,tennis ball,4479,koopa troopa,5012,shy guy,6139,piranha plant,6153,blooper,6154,boo,6157,dry bones,6192,chain chomp,Mario Tennis Aces,130,Nintendo Switch,,,,,,,70.9383274359852,62,1077,Super Mario Galaxy,2336,Mario Party 9,2338,Mario Party: Island Tour,2344,Mario Kart: Double Dash!!,2350,Mario Kart 8,7340,Mario Party 10,11220,Mario Tennis: Ultra Smash,105049,Remnant: From the Ashes,109455,Luigi's Mansion 3,115276,Super Mario Maker 2,1,Action,,,,,,,,,,,,,7242,koopa paratroopa,8893,spike,9116,toad,23983,wario,25315,luigi,25327,toadette,25593,waluigi,25595,rosalina,26965,multiple playable characters,27088,diddy kong,27721,bowser,29406,boom boom (mario character),29428,princess peach,29461,kamek,29586,petey piranha,29634,birdo (mario),30374,bowser jr. (mario character),32060,princess daisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136560,0,687,UFC,249,UFC,1,Single player,2,Multiplayer,,,4,Fighting,14,Sport,,,4082,fighter,,,,,,,,,,,,,,,,,,,,,,,,,EA Sports UFC 4,48,PlayStation 4,49,Xbox One,,,,,70.1267168312162,8,4052,One Piece: Grand Battle!,59858,Lethal League Blaze,89550,Zoids Wild: Blast Unleashed,101608,Anima: Gate of Memories - The Nameless Chronicles,103269,Dead or Alive 6,109277,SAMURAI SHODOWN,114145,Ben 10: Battle Ready,116353,Real Football 2019,118871,GRID,119422,eFootball PES 2020,1,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172427,0,244,Kirby,789,Kirby,1,Single player,2,Multiplayer,,,8,Platform,31,Adventure,,,250,3d,2049,platformer,4239,platform exclusive,8236,platform,8245,waddle dee,16800,kirby,18448,3d platform,23877,urbex,,,,,,,,,,,Kirby and the Forgotten Land,130,Nintendo Switch,,,,,,,86.58832896574862,26,19150,Vagante,20342,Toby: The Secret Mine,24426,Forgotton Anne,55173,Semblance,55190,Pikuniku,56033,Dream Alone,77529,Etherborn,81249,The Elder Scrolls VI,89597,Unbound: Worlds Apart,103303,The Elder Scrolls: Blades,1,Action,38,Open world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103294,3,6085,NieR,2483,Drakengard,1,Single player,,,,,12,Role-playing (RPG),31,Adventure,,,69,post-apocalyptic,1039,port,2444,androids,17112,complete edition,18230,nier,22725,drakengard,25986,goty edition,27537,yoko taro,,,,,,,,,,,NieR: Automata - BECOME AS GODS Edition,6,PC (Microsoft Windows),49,Xbox One,,,,,89.9898271434806,17,19164,Borderlands 3,25311,Star Control: Origins,54842,Biomutant,55038,Immortal: Unchained,55199,Dragon: Marked for Death,81249,The Elder Scrolls VI,96217,Eternity: The Last Unicorn,103303,The Elder Scrolls: Blades,106987,Torchlight III,115653,Pokémon Shield,1,Action,17,Fantasy,18,Science fiction,38,Open world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81921,0,8148,Nekomew,3910,Nekomew,1,Single player,,,,,7,Music,32,Indie,,,168,rhythm,1387,cute,2146,kawaii,2938,scary,2940,spooky,4329,cat,17073,furry,17404,kitten,26243,kitty,,,,,,,,,Nekomew's Potty Trouble,6,PC (Microsoft Windows),,,,,,,70,0,13189,Masochisia,25646,Don't Knock Twice,27266,House of Caravan,55282,Infliction,68271,DARQ,87514,Granny,110737,The Watson-Scott Test,111130,Apsulov: End of Gods,114455,Pacify,212701,Nekomew's Nightmares,19,Horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44102,0,6464,Total War Saga,977,Total War,1,Single player,2,Multiplayer,3,Co-operative,11,Real Time Strategy (RTS),15,Strategy,16,Turn-based strategy (TBS),151,medieval,1471,real-time strategy,,,,,,,,,,,,,,,,,,,,,,,Total War Saga: Thrones of Britannia,3,Linux,6,PC (Microsoft Windows),14,Mac,,,72.3425419620422,9,9856,Real Warfare 1242,10243,Blitzkrieg 3,18623,Villagers,28794,Ancestors Legacy,30229,Bannermen,36553,Medieval Kingdom Wars,55029,Age of Empires IV,78550,Bad North,80961,Total War: Three Kingdoms,107218,Desperados III,1,Action,22,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91311,0,127,Rainbow Six,857,Tom Clancy’s,1,Single player,2,Multiplayer,3,Co-operative,5,Shooter,24,Tactical,,,4357,xbox one x enhanced,,,,,,,,,,,,,,,,,,,,,,,,,Tom Clancy's Rainbow Six Siege: Advanced Edition,48,PlayStation 4,49,Xbox One,,,,,80,4,38030,Phantomers Insurreccion,90099,Tom Clancy's The Division 2,102868,World War 3,103298,DOOM Eternal,103301,Wolfenstein: Youngblood,105049,Remnant: From the Ashes,106805,Call of Duty: Mobile,118218,Tom Clancy's Ghost Recon: Breakpoint,119177,Call Of Duty: Modern Warfare,120268,Zombie Driver: Immortal Edition,1,Action,39,Warfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
