id,category,first_release_date,game_modes/0/id,game_modes/0/name,game_modes/1/id,game_modes/1/name,genres/0/id,genres/0/name,genres/1/id,genres/1/name,name,platforms/0/id,platforms/0/name,similar_games/0/id,similar_games/0/name,similar_games/1/id,similar_games/1/name,similar_games/2/id,similar_games/2/name,similar_games/3/id,similar_games/3/name,similar_games/4/id,similar_games/4/name,similar_games/5/id,similar_games/5/name,similar_games/6/id,similar_games/6/name,similar_games/7/id,similar_games/7/name,similar_games/8/id,similar_games/8/name,similar_games/9/id,similar_games/9/name,collection/id,collection/name,keywords/0/id,keywords/0/name,keywords/1/id,keywords/1/name,keywords/2/id,keywords/2/name,keywords/3/id,keywords/3/name,keywords/4/id,keywords/4/name,keywords/5/id,keywords/5/name,keywords/6/id,keywords/6/name,keywords/7/id,keywords/7/name,platforms/1/id,platforms/1/name,platforms/2/id,platforms/2/name,platforms/3/id,platforms/3/name,themes/0/id,themes/0/name,involved_companies/0/id,involved_companies/0/company/id,involved_companies/0/company/name,involved_companies/0/developer,keywords/8/id,keywords/8/name,keywords/9/id,keywords/9/name,keywords/10/id,keywords/10/name,keywords/11/id,keywords/11/name,keywords/12/id,keywords/12/name,keywords/13/id,keywords/13/name,keywords/14/id,keywords/14/name,keywords/15/id,keywords/15/name,genres/2/id,genres/2/name,genres/3/id,genres/3/name,involved_companies/1/id,involved_companies/1/company/id,involved_companies/1/company/name,involved_companies/1/developer
35004,0,1437696000,2,Multiplayer,5,Massively Multiplayer Online (MMO),15,Strategy,32,Indie,Demon Horde Master,6,PC (Microsoft Windows),33603,Tavern Tycoon,36962,Starship Theory,51577,Rise of Industry,65827,Bronze Age,79134,Ancient Cities,107992,Tech Corp.,111043,Pax Nova,113402,Dungeon Of Dragon Knight,115539,The Castles of Burgundy,116674,Atrium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79899,0,915062400,5,Massively Multiplayer Online (MMO),,,12,Role-playing (RPG),,,Gemstone IV,3,Linux,17350,Eldevin,19698,Albion Online,23651,Echo of Soul,34155,The Black Death,35450,Tree of Life,47823,Citadel: Forged With Fire,59427,Fairy Tail Online,64061,Kando World,68393,Legends of Equestria,80916,Omensight,2745,Gemstone,151,medieval,296,fantasy,900,mmorpg,1846,mud,2071,sequel,2396,text-based,4260,text adventure,27211,multi user dungeon,6,PC (Microsoft Windows),14,Mac,82,Web browser,22,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89616,0,,1,Single player,,,9,Puzzle,33,Arcade,Bubble Whirl Shooter,34,Android,18115,Amazing Maze,19222,Digging Jim,25905,Winds of Revenge,41349,Hayama Reiko no Date de Blackjack,85804,Sunday Lawn,87170,One More Brick,87507,Whirly Word HD,90788,Munchkin Match,90965,Donut Drop by ABCya,95776,Turn It On!,,,,,,,,,,,,,,,,,,,39,iOS,,,,,,,154613,38839,Meng Li,true,,,,,,,,,,,,,,,,,,,,,,,,
64881,0,,,,,,8,Platform,9,Puzzle,Lode Runner Classic,,,19150,Vagante,20329,Figment,20342,Toby: The Secret Mine,24426,Forgotton Anne,28070,Planet Alpha,55173,Semblance,55190,Pikuniku,56033,Dream Alone,77529,Etherborn,89597,Unbound: Worlds Apart,870,Lode Runner,1293,achievements,2049,platformer,2875,puzzle,2992,no jumping,4130,gold,4134,digital distribution,4178,options menu,4317,ladder,,,,,,,1,Action,,,,,4332,tutorial,4476,digging,4510,touch controls,4890,xbox live,5523,leaderboard,5609,zoom,6782,virtual joystick,7235,pit,,,,,,,,
95080,0,,,,,,,,,,Dotra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85450,0,,,,,,,,,,Transformers Prime: The Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85230,66,Activision,false,,,,,,,,,,,,,,,,,,,,,,,,
184551,0,,,,,,8,Platform,9,Puzzle,Square Up,,,19222,Digging Jim,25905,Winds of Revenge,28070,Planet Alpha,41349,Hayama Reiko no Date de Blackjack,87507,Whirly Word HD,95776,Turn It On!,212779,Chronotron,222356,Chiyo-chan's Key,225971,Baseball Brat Badventure,228094,Starcatcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91579,0,,,,,,,,,,Racing Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86463,0,1597017600,1,Single player,,,10,Racing,14,Sport,Choo-Choo! Train Rides!,6,PC (Microsoft Windows),25311,Star Control: Origins,25646,Don't Knock Twice,80916,Omensight,96217,Eternity: The Last Unicorn,105269,Gene Rain,106987,Torchlight III,111130,Apsulov: End of Gods,113360,Hytale,113895,Havocado,118871,GRID,,,,,,,,,,,,,,,,,,,,,,,,,1,Action,,,,,,,,,,,,,,,,,,,,,31,Adventure,32,Indie,,,,
85031,0,1404345600,,,,,9,Puzzle,,,City Mysteries,37,Nintendo 3DS,10603,Numba Deluxe,19222,Digging Jim,25905,Winds of Revenge,41349,Hayama Reiko no Date de Blackjack,86974,Word Cross Puzzle,87507,Whirly Word HD,88511,Word Charm,90788,Munchkin Match,95776,Turn It On!,106992,A Fisherman's Tale,,,,,,,,,,,,,,,,,,,,,,,,,,,130531,709,Teyon,true,,,,,,,,,,,,,,,,,,,,,130532,4367,SelectSoft Publishing,false
